Date,Open,High,Low,Close,SMA50,SMA200,SPY_Open
5/22/2007,1145.469971,1152.170044,1141.359985,1148.52002,1107.208201,1095.66465,152.699997
5/23/2007,1148.550049,1149.550049,1136.660034,1137.099976,1108.974399,1096.024958,152.949997
5/24/2007,1134.180054,1138.449951,1111.680054,1115,1110.0726,1096.188535,152.529999
5/25/2007,1120.569946,1126.72998,1118.719971,1125.369995,1111.3772,1096.43795,151.5
5/29/2007,1129.650024,1137.560059,1127.339966,1134.140015,1112.901399,1096.757459,151.940002
5/30/2007,1127.23999,1141.98999,1123.420044,1141.98999,1114.471399,1097.137564,151.460007
5/31/2007,1146.040039,1152.880005,1145,1151.97998,1116.064797,1097.594584,153.669998
6/1/2007,1157.310059,1163.290039,1153.459961,1155.109985,1117.179597,1098.069918,153.880005
6/4/2007,1152.290039,1161.22998,1151.119995,1159.72998,1118.538196,1098.575328,153.539993
6/5/2007,1157.089966,1159.709961,1147.459961,1158.130005,1119.881597,1099.059513,153.740005
6/6/2007,1153.73999,1155.079956,1144.670044,1148.180054,1120.915798,1099.455646,152.860001
6/7/2007,1142.869995,1149.550049,1126.920044,1126.920044,1121.71,1099.675361,151.559998
6/8/2007,1128.689941,1146.689941,1125.040039,1146.530029,1123.205801,1100.047224,149.580002
6/11/2007,1145.109985,1153.829956,1144.079956,1148,1124.8154,1100.424805,150.929993
6/12/2007,1141.140015,1153.109985,1137.98999,1140.719971,1126.251399,1100.739611,150.669998
6/13/2007,1146.119995,1156.920044,1143.410034,1156.75,1128.036999,1101.1738,150.5
6/14/2007,1157.369995,1166.890015,1157.339966,1163.780029,1129.728,1101.655386,152.059998
6/15/2007,1175.859985,1177.130005,1168.869995,1174.23999,1131.505801,1102.209467,153.139999
6/18/2007,1175.109985,1177.73999,1171.119995,1174.699951,1133.134199,1102.758637,153.380005
6/19/2007,1167.810059,1175.699951,1164.930054,1172.25,1134.766199,1103.281129,152.550003
6/20/2007,1175.310059,1176.97998,1161.369995,1161.380005,1136.023198,1103.714703,153.580002
6/21/2007,1163.300049,1181.920044,1160.829956,1180.589966,1137.871597,1104.284149,151.080002
6/22/2007,1177.310059,1179.75,1164.75,1169.069946,1139.310796,1104.760515,151.520004
6/25/2007,1167.599976,1171.949951,1153.140015,1157.560059,1140.469597,1105.145913,150.240005
6/26/2007,1163.75,1164.859985,1150.790039,1154.780029,1141.377598,1105.505581,150.210007
6/27/2007,1150.51001,1172.780029,1149.599976,1171.959961,1142.642397,1105.98367,148.130005
6/28/2007,1169.349976,1181.209961,1168.97998,1172.76001,1143.846396,1106.460644,150.380005
6/29/2007,1180.900024,1181.959961,1165.709961,1173.349976,1145.095996,1106.935036,150.899994
7/2/2007,1178.27002,1183.949951,1176.329956,1183.369995,1146.462195,1107.47331,150.869995
7/3/2007,1186.27002,1188.030029,1183.359985,1186.130005,1147.904194,1108.023357,152.179993
7/5/2007,1187.869995,1196.209961,1185.130005,1195.189941,1149.285793,1108.628681,152.399994
7/6/2007,1196.76001,1200.969971,1193.180054,1200.430054,1150.632395,1109.261794,152.380005
7/9/2007,1201.589966,1208.329956,1200.400024,1206.300049,1152.001597,1109.926439,153.160004
7/10/2007,1202.77002,1208.709961,1196.02002,1196.839966,1153.251597,1110.517688,152.289993
7/11/2007,1195.660034,1203.800049,1190.859985,1203.48999,1154.924597,1111.145879,150.75
7/12/2007,1208.209961,1232.150024,1207.52002,1232.150024,1157.117798,1111.957987,152.369995
7/13/2007,1229.719971,1232.640015,1225.630005,1231.890015,1159.153398,1112.757534,154.570007
7/16/2007,1229.77002,1233.27002,1225.47998,1228.47998,1161.012197,1113.523908,154.990005
7/17/2007,1232.040039,1250.01001,1232.040039,1246.089966,1163.090796,1114.396053,154.929993
7/18/2007,1236.359985,1237.97998,1227.23999,1237.439941,1165.059194,1115.200262,154.229996
7/19/2007,1251.25,1261.630005,1248.459961,1258.280029,1167.405195,1116.129351,155.199997
